Location,Date,Time,Vehicle_Count,Traffic_Density,Average_Speed,Road_Type,Weather,Accident_Reported,Signal_Status
Sector 43,2025-01-02,08:00:00,1580,Medium,71,Main Road,Cloudy,No,Green
Sector 43,2025-01-02,09:00:00,1645,Low,57,Highway,Cloudy,No,Green
Industrial Area,2025-01-02,10:00:00,1957,High,19,Main Road,Foggy,No,Red
Industrial Area,2025-01-02,11:00:00,892,Medium,45,Street,Foggy,No,Green
Industrial Area,2025-01-02,12:00:00,1195,High,38,Highway,Cloudy,No,Yellow
Sector 35,2025-01-02,13:00:00,1552,High,13,Main Road,Foggy,No,Red
Sector 43,2025-01-02,14:00:00,668,Medium,53,Main Road,Cloudy,No,Red
Sector 43,2025-01-02,15:00:00,145,Low,65,Street,Sunny,No,Green
Sector 17,2025-01-02,16:00:00,1932,High,51,Highway,Foggy,No,Yellow
Sector 35,2025-01-02,17:00:00,1487,Medium,22,Highway,Rainy,No,Red
IT Park,2025-01-02,18:00:00,1308,Low,55,Main Road,Rainy,No,Red
Sector 35,2025-01-02,19:00:00,947,High,42,Street,Cloudy,No,Green
IT Park,2025-01-02,20:00:00,1135,Medium,30,Street,Sunny,No,Green
Sector 17,2025-01-02,21:00:00,1329,High,66,Street,Foggy,No,Yellow
Sector 22,2025-01-02,22:00:00,610,Medium,78,Street,Cloudy,No,Yellow
Sector 43,2025-01-02,23:00:00,954,Medium,79,Street,Sunny,No,Green
Sector 17,2025-01-03,00:00:00,397,High,76,Street,Sunny,No,Yellow
Sector 43,2025-01-03,01:00:00,720,High,57,Highway,Foggy,No,Green
Industrial Area,2025-01-03,02:00:00,1197,Medium,42,Main Road,Rainy,Yes,Red
Sector 22,2025-01-03,03:00:00,1555,Low,45,Main Road,Rainy,Yes,Green
Sector 22,2025-01-03,04:00:00,366,High,42,Street,Sunny,No,Green
Sector 17,2025-01-03,05:00:00,1577,Medium,40,Highway,Rainy,No,Green
Sector 22,2025-01-03,06:00:00,768,Medium,30,Highway,Sunny,No,Red
IT Park,2025-01-03,07:00:00,1121,Low,36,Street,Sunny,No,Yellow
Sector 22,2025-01-03,08:00:00,1482,Low,71,Main Road,Sunny,No,Yellow
Sector 43,2025-01-03,09:00:00,1209,Low,35,Street,Rainy,No,Yellow
Sector 43,2025-01-03,10:00:00,1274,High,75,Highway,Cloudy,No,Green
Sector 43,2025-01-03,11:00:00,299,Medium,21,Street,Rainy,No,Green
Sector 43,2025-01-03,12:00:00,363,Medium,31,Main Road,Cloudy,No,Yellow
IT Park,2025-01-03,13:00:00,1942,Medium,26,Main Road,Rainy,No,Red
Sector 35,2025-01-03,14:00:00,1441,Low,16,Highway,Foggy,No,Red
Industrial Area,2025-01-03,15:00:00,1502,Medium,77,Street,Foggy,No,Red
Sector 17,2025-01-03,16:00:00,1903,High,46,Street,Rainy,No,Red
Sector 43,2025-01-03,17:00:00,856,Low,47,Highway,Foggy,No,Green
Sector 22,2025-01-03,18:00:00,1553,Low,20,Street,Foggy,No,Yellow
Sector 43,2025-01-03,19:00:00,1387,Low,10,Highway,Foggy,Yes,Red
Sector 22,2025-01-03,20:00:00,1573,Low,34,Street,Foggy,No,Green
Industrial Area,2025-01-03,21:00:00,1794,High,51,Main Road,Cloudy,No,Green
Industrial Area,2025-01-03,22:00:00,1428,Medium,61,Highway,Sunny,No,Green
Industrial Area,2025-01-03,23:00:00,534,High,33,Street,Cloudy,No,Yellow
Sector 22,2025-01-04,00:00:00,1284,Medium,62,Street,Sunny,No,Green
Sector 43,2025-01-04,01:00:00,1777,High,65,Street,Sunny,Yes,Yellow
Industrial Area,2025-01-04,02:00:00,93,Low,72,Highway,Rainy,No,Yellow
IT Park,2025-01-04,03:00:00,1614,Low,17,Main Road,Rainy,No,Yellow
Sector 22,2025-01-04,04:00:00,620,High,68,Street,Rainy,No,Yellow
Sector 22,2025-01-04,05:00:00,632,High,54,Highway,Rainy,No,Green
Sector 43,2025-01-04,06:00:00,1165,Medium,36,Street,Rainy,No,Green
Sector 22,2025-01-04,07:00:00,1338,High,61,Main Road,Cloudy,Yes,Green
Sector 22,2025-01-04,08:00:00,944,High,27,Main Road,Cloudy,Yes,Red
Industrial Area,2025-01-04,09:00:00,269,Medium,25,Main Road,Foggy,Yes,Red
Sector 43,2025-01-04,10:00:00,1975,Medium,75,Highway,Cloudy,No,Yellow
Industrial Area,2025-01-04,11:00:00,974,Medium,14,Street,Cloudy,No,Yellow
Industrial Area,2025-01-04,12:00:00,1515,High,12,Highway,Rainy,No,Yellow
Sector 43,2025-01-04,13:00:00,450,Medium,79,Street,Foggy,No,Yellow
Sector 17,2025-01-04,14:00:00,1473,Low,16,Highway,Cloudy,No,Yellow
Industrial Area,2025-01-04,15:00:00,776,Low,59,Street,Cloudy,No,Red
IT Park,2025-01-04,16:00:00,1040,Low,23,Highway,Foggy,No,Yellow
IT Park,2025-01-04,17:00:00,948,High,47,Street,Sunny,No,Green
Sector 22,2025-01-04,18:00:00,1862,Low,56,Highway,Rainy,No,Yellow
IT Park,2025-01-04,19:00:00,1649,High,42,Main Road,Cloudy,No,Green
Sector 22,2025-01-04,20:00:00,907,High,52,Highway,Cloudy,No,Green
Sector 17,2025-01-04,21:00:00,853,Low,38,Main Road,Foggy,No,Green
Sector 43,2025-01-04,22:00:00,539,Medium,66,Main Road,Cloudy,No,Green
Sector 43,2025-01-04,23:00:00,1558,High,14,Street,Rainy,No,Yellow
Sector 43,2025-01-05,00:00:00,1830,Low,69,Main Road,Cloudy,No,Yellow
IT Park,2025-01-05,01:00:00,1543,High,79,Main Road,Sunny,Yes,Yellow
Sector 17,2025-01-05,02:00:00,1647,Medium,11,Street,Rainy,No,Yellow
IT Park,2025-01-05,03:00:00,987,Medium,79,Highway,Sunny,No,Yellow
IT Park,2025-01-05,04:00:00,893,Low,52,Highway,Foggy,No,Red
Sector 17,2025-01-05,05:00:00,1755,High,13,Main Road,Rainy,No,Green
Sector 17,2025-01-05,06:00:00,1518,High,65,Highway,Cloudy,Yes,Green
Sector 17,2025-01-05,07:00:00,1342,High,68,Main Road,Rainy,No,Red
Sector 17,2025-01-05,08:00:00,316,High,18,Highway,Rainy,No,Red
Sector 43,2025-01-05,09:00:00,103,Low,12,Highway,Rainy,Yes,Yellow
Sector 35,2025-01-05,10:00:00,577,Medium,57,Highway,Sunny,No,Yellow
Sector 35,2025-01-05,11:00:00,1593,Low,52,Main Road,Foggy,No,Green
Sector 17,2025-01-05,12:00:00,665,High,10,Street,Rainy,No,Yellow
Sector 35,2025-01-05,13:00:00,1132,High,66,Highway,Cloudy,No,Green
Sector 35,2025-01-05,14:00:00,1898,Medium,62,Highway,Rainy,No,Yellow
Sector 17,2025-01-05,15:00:00,1113,High,25,Highway,Rainy,No,Yellow
Sector 35,2025-01-05,16:00:00,1310,Low,60,Main Road,Foggy,No,Green
IT Park,2025-01-05,17:00:00,1004,Low,64,Street,Cloudy,No,Red
Sector 22,2025-01-05,18:00:00,435,Medium,10,Main Road,Cloudy,No,Red
Sector 22,2025-01-05,19:00:00,1679,Low,37,Highway,Sunny,No,Yellow
Sector 17,2025-01-05,20:00:00,783,Low,62,Main Road,Cloudy,Yes,Red
Sector 43,2025-01-05,21:00:00,765,Low,67,Highway,Cloudy,No,Yellow
Sector 17,2025-01-05,22:00:00,699,Low,69,Highway,Cloudy,No,Red
Sector 43,2025-01-05,23:00:00,349,High,68,Main Road,Rainy,No,Red
Sector 22,2025-01-06,00:00:00,444,Low,31,Highway,Sunny,No,Green
Sector 17,2025-01-06,01:00:00,1280,Medium,17,Highway,Cloudy,No,Red
Industrial Area,2025-01-06,02:00:00,1409,Medium,58,Street,Cloudy,No,Yellow
IT Park,2025-01-06,03:00:00,642,Low,51,Main Road,Cloudy,No,Green
Sector 35,2025-01-06,04:00:00,1803,Medium,36,Main Road,Rainy,No,Red
Sector 43,2025-01-06,05:00:00,563,Low,48,Highway,Rainy,No,Green
Industrial Area,2025-01-06,06:00:00,1251,Medium,34,Highway,Sunny,No,Red
Sector 35,2025-01-06,07:00:00,445,Medium,47,Main Road,Foggy,No,Yellow
Sector 35,2025-01-06,08:00:00,420,Low,33,Main Road,Sunny,No,Yellow
Sector 17,2025-01-06,09:00:00,907,Low,33,Main Road,Rainy,No,Green
Sector 35,2025-01-06,10:00:00,840,High,69,Highway,Cloudy,No,Red
IT Park,2025-01-06,11:00:00,707,Low,59,Street,Cloudy,No,Red
Industrial Area,2025-01-06,12:00:00,1391,Low,75,Street,Sunny,No,Green
Sector 35,2025-01-06,13:00:00,785,High,23,Highway,Cloudy,No,Green
Sector 17,2025-01-06,14:00:00,1442,Low,62,Highway,Rainy,No,Yellow
IT Park,2025-01-06,15:00:00,433,Low,41,Highway,Sunny,No,Green
Sector 22,2025-01-06,16:00:00,111,High,57,Main Road,Foggy,No,Red
Industrial Area,2025-01-06,17:00:00,1879,Low,48,Highway,Rainy,No,Green
Sector 35,2025-01-06,18:00:00,554,Low,49,Main Road,Rainy,No,Yellow
Sector 17,2025-01-06,19:00:00,288,High,51,Street,Cloudy,No,Green
Sector 22,2025-01-06,20:00:00,244,High,17,Highway,Rainy,No,Red
Sector 22,2025-01-06,21:00:00,727,Medium,35,Highway,Rainy,Yes,Green
Sector 43,2025-01-06,22:00:00,1295,Low,21,Main Road,Foggy,No,Green
IT Park,2025-01-06,23:00:00,110,Medium,52,Main Road,Cloudy,No,Green
Sector 35,2025-01-07,00:00:00,1202,Medium,60,Main Road,Rainy,No,Yellow
Sector 17,2025-01-07,01:00:00,1039,High,72,Street,Cloudy,No,Yellow
Sector 43,2025-01-07,02:00:00,734,Low,58,Street,Rainy,No,Yellow
IT Park,2025-01-07,03:00:00,205,Low,36,Highway,Foggy,No,Yellow
Sector 43,2025-01-07,04:00:00,1990,High,18,Highway,Cloudy,No,Red
Industrial Area,2025-01-07,05:00:00,1451,Medium,48,Main Road,Cloudy,No,Red
IT Park,2025-01-07,06:00:00,1695,High,74,Street,Foggy,No,Yellow
IT Park,2025-01-07,07:00:00,1854,Low,16,Highway,Sunny,No,Yellow
Sector 35,2025-01-07,08:00:00,972,High,76,Main Road,Rainy,No,Yellow
IT Park,2025-01-07,09:00:00,917,Low,19,Main Road,Rainy,No,Green
Sector 43,2025-01-07,10:00:00,952,Medium,62,Street,Sunny,No,Red
IT Park,2025-01-07,11:00:00,1863,Low,66,Street,Cloudy,No,Green
Sector 35,2025-01-07,12:00:00,1659,Medium,36,Highway,Cloudy,No,Yellow
Sector 35,2025-01-07,13:00:00,1048,Medium,63,Highway,Foggy,No,Red
Industrial Area,2025-01-07,14:00:00,1510,Low,13,Main Road,Foggy,No,Yellow
Sector 43,2025-01-07,15:00:00,1024,Low,32,Main Road,Foggy,No,Green
Sector 22,2025-01-07,16:00:00,1280,Medium,57,Main Road,Sunny,No,Red
Sector 22,2025-01-07,17:00:00,437,High,51,Highway,Sunny,Yes,Green
IT Park,2025-01-07,18:00:00,1553,Low,12,Street,Cloudy,No,Red
Industrial Area,2025-01-07,19:00:00,1864,Medium,12,Highway,Foggy,No,Yellow
Sector 17,2025-01-07,20:00:00,936,Medium,37,Street,Cloudy,No,Red
IT Park,2025-01-07,21:00:00,887,High,72,Highway,Sunny,No,Green
Industrial Area,2025-01-07,22:00:00,1413,Low,40,Highway,Rainy,No,Green
Sector 43,2025-01-07,23:00:00,1942,Medium,19,Street,Cloudy,No,Green
Sector 43,2025-01-08,00:00:00,389,High,58,Highway,Sunny,No,Green
Sector 43,2025-01-08,01:00:00,253,Medium,30,Highway,Foggy,Yes,Yellow
Sector 43,2025-01-08,02:00:00,210,Low,62,Main Road,Rainy,No,Green
Sector 43,2025-01-08,03:00:00,1613,High,63,Street,Rainy,No,Yellow
Industrial Area,2025-01-08,04:00:00,441,Medium,66,Street,Rainy,Yes,Red
Industrial Area,2025-01-08,05:00:00,818,High,29,Main Road,Foggy,No,Green
Sector 35,2025-01-08,06:00:00,1750,Low,58,Street,Rainy,No,Red
Sector 22,2025-01-08,07:00:00,624,High,16,Main Road,Sunny,No,Red
Sector 43,2025-01-08,08:00:00,583,Low,38,Street,Cloudy,Yes,Yellow
Sector 17,2025-01-08,09:00:00,1143,Medium,57,Street,Rainy,No,Green
Industrial Area,2025-01-08,10:00:00,942,Low,22,Street,Rainy,No,Yellow
Sector 17,2025-01-08,11:00:00,454,Medium,12,Street,Sunny,No,Green
Sector 17,2025-01-08,12:00:00,657,Medium,11,Main Road,Foggy,No,Red
Sector 17,2025-01-08,13:00:00,1748,Low,25,Main Road,Rainy,No,Yellow
Sector 35,2025-01-08,14:00:00,1664,Medium,15,Street,Sunny,Yes,Green
Industrial Area,2025-01-08,15:00:00,1590,High,54,Highway,Sunny,No,Red
Sector 17,2025-01-08,16:00:00,877,Medium,14,Main Road,Foggy,No,Yellow
Sector 43,2025-01-08,17:00:00,1193,Low,65,Street,Foggy,No,Yellow
IT Park,2025-01-08,18:00:00,1887,High,41,Main Road,Cloudy,No,Yellow
Sector 17,2025-01-08,19:00:00,739,High,58,Highway,Rainy,No,Yellow
Sector 35,2025-01-08,20:00:00,1761,Medium,22,Highway,Cloudy,No,Red
Industrial Area,2025-01-08,21:00:00,951,Medium,39,Highway,Sunny,No,Red
Sector 35,2025-01-08,22:00:00,1290,Low,34,Street,Rainy,Yes,Red
Sector 17,2025-01-08,23:00:00,105,High,69,Street,Sunny,No,Red
Industrial Area,2025-01-09,00:00:00,415,Low,68,Highway,Sunny,No,Green
IT Park,2025-01-09,01:00:00,1772,Medium,37,Main Road,Sunny,No,Red
Sector 17,2025-01-09,02:00:00,1577,High,67,Main Road,Foggy,No,Yellow
Sector 35,2025-01-09,03:00:00,1817,Low,29,Highway,Foggy,No,Yellow
Sector 22,2025-01-09,04:00:00,1840,Low,43,Street,Rainy,Yes,Yellow
Sector 43,2025-01-09,05:00:00,1998,Low,14,Main Road,Sunny,No,Yellow
Sector 35,2025-01-09,06:00:00,504,Low,69,Main Road,Sunny,No,Green
Industrial Area,2025-01-09,07:00:00,153,Low,52,Main Road,Rainy,No,Yellow
Sector 17,2025-01-09,08:00:00,126,High,66,Street,Cloudy,No,Yellow
Sector 43,2025-01-09,09:00:00,279,Low,66,Highway,Sunny,No,Yellow
Sector 17,2025-01-09,10:00:00,1987,High,63,Street,Foggy,No,Red
Industrial Area,2025-01-09,11:00:00,1331,Low,54,Main Road,Cloudy,No,Red
Sector 17,2025-01-09,12:00:00,1337,Medium,46,Highway,Cloudy,No,Green
Sector 22,2025-01-09,13:00:00,380,Medium,57,Street,Cloudy,No,Green
Sector 43,2025-01-09,14:00:00,1255,Low,63,Highway,Cloudy,No,Green
Sector 43,2025-01-09,15:00:00,942,Medium,57,Main Road,Cloudy,No,Yellow
Industrial Area,2025-01-09,16:00:00,1841,High,15,Street,Cloudy,No,Green
Sector 22,2025-01-09,17:00:00,1623,Low,43,Highway,Rainy,No,Red
Sector 35,2025-01-09,18:00:00,737,High,72,Street,Rainy,No,Red
Sector 17,2025-01-09,19:00:00,76,Low,57,Main Road,Cloudy,No,Red
IT Park,2025-01-09,20:00:00,1349,Medium,32,Highway,Foggy,No,Yellow
Sector 17,2025-01-09,21:00:00,1725,High,22,Main Road,Rainy,No,Yellow
Sector 17,2025-01-09,22:00:00,348,Medium,56,Highway,Rainy,No,Green
Sector 35,2025-01-09,23:00:00,1006,Medium,53,Main Road,Cloudy,No,Green
Sector 17,2025-01-10,00:00:00,848,Low,41,Main Road,Foggy,No,Green
Sector 22,2025-01-10,01:00:00,1164,High,35,Street,Cloudy,No,Green
Sector 22,2025-01-10,02:00:00,529,Medium,62,Main Road,Foggy,No,Yellow
Sector 43,2025-01-10,03:00:00,622,Low,23,Street,Foggy,No,Red
Industrial Area,2025-01-10,04:00:00,507,Low,61,Main Road,Sunny,No,Yellow
IT Park,2025-01-10,05:00:00,1524,Low,45,Main Road,Rainy,No,Green
Sector 17,2025-01-10,06:00:00,414,Medium,17,Main Road,Cloudy,No,Yellow
Sector 17,2025-01-10,07:00:00,908,Low,49,Highway,Rainy,No,Red
Sector 35,2025-01-10,08:00:00,1748,High,31,Street,Rainy,No,Yellow
Industrial Area,2025-01-10,09:00:00,400,High,25,Highway,Foggy,No,Red
Sector 22,2025-01-10,10:00:00,1728,Medium,69,Street,Rainy,No,Green
IT Park,2025-01-10,11:00:00,1473,High,69,Main Road,Sunny,No,Yellow
Sector 43,2025-01-10,12:00:00,302,Low,19,Highway,Cloudy,No,Green
Sector 22,2025-01-10,13:00:00,830,Medium,34,Street,Rainy,No,Green
Industrial Area,2025-01-10,14:00:00,1954,Low,40,Main Road,Cloudy,No,Red
Sector 43,2025-01-10,15:00:00,852,Medium,30,Street,Rainy,No,Red
Sector 35,2025-01-10,16:00:00,1061,Medium,42,Street,Cloudy,No,Green
Sector 35,2025-01-10,17:00:00,508,Low,40,Main Road,Cloudy,No,Red
Sector 17,2025-01-10,18:00:00,1772,High,30,Highway,Cloudy,Yes,Red
Industrial Area,2025-01-10,19:00:00,966,High,45,Main Road,Rainy,No,Green
IT Park,2025-01-10,20:00:00,548,Medium,74,Highway,Sunny,Yes,Green
Sector 43,2025-01-10,21:00:00,999,Low,13,Street,Cloudy,Yes,Red
Sector 22,2025-01-10,22:00:00,1999,Low,77,Street,Foggy,No,Green
Industrial Area,2025-01-10,23:00:00,557,Medium,13,Street,Foggy,No,Green
Industrial Area,2025-01-11,00:00:00,1377,High,18,Highway,Foggy,No,Red
Sector 35,2025-01-11,01:00:00,550,Low,39,Main Road,Sunny,Yes,Yellow
Sector 17,2025-01-11,02:00:00,852,High,54,Highway,Cloudy,No,Yellow
Sector 17,2025-01-11,03:00:00,647,High,13,Street,Sunny,No,Green
Sector 43,2025-01-11,04:00:00,215,Medium,78,Street,Cloudy,No,Red
Sector 35,2025-01-11,05:00:00,1488,Medium,32,Main Road,Sunny,Yes,Green
Industrial Area,2025-01-11,06:00:00,511,High,25,Highway,Cloudy,No,Red
IT Park,2025-01-11,07:00:00,969,Low,31,Street,Foggy,No,Green
Sector 35,2025-01-11,08:00:00,163,Low,57,Highway,Cloudy,No,Green
Sector 43,2025-01-11,09:00:00,1506,Medium,71,Highway,Sunny,No,Red
Sector 43,2025-01-11,10:00:00,1041,High,69,Main Road,Cloudy,No,Green
Sector 35,2025-01-11,11:00:00,1429,Low,14,Main Road,Rainy,No,Yellow
Sector 43,2025-01-11,12:00:00,1768,Low,16,Street,Cloudy,No,Yellow
Sector 35,2025-01-11,13:00:00,256,Medium,60,Main Road,Foggy,No,Red
Sector 22,2025-01-11,14:00:00,1841,High,74,Highway,Cloudy,No,Green
Sector 35,2025-01-11,15:00:00,1308,Low,18,Main Road,Rainy,No,Yellow
Sector 35,2025-01-11,16:00:00,1515,Medium,54,Highway,Rainy,No,Red
Sector 43,2025-01-11,17:00:00,1428,Low,56,Street,Rainy,No,Red
Sector 43,2025-01-11,18:00:00,564,Low,76,Highway,Sunny,No,Red
Sector 17,2025-01-11,19:00:00,1281,Low,33,Main Road,Rainy,No,Yellow
Sector 17,2025-01-11,20:00:00,758,Medium,19,Main Road,Sunny,Yes,Yellow
Sector 22,2025-01-11,21:00:00,1926,High,57,Street,Rainy,No,Yellow
Sector 17,2025-01-11,22:00:00,1198,Medium,44,Main Road,Sunny,No,Yellow
Sector 35,2025-01-11,23:00:00,187,High,63,Street,Rainy,No,Green
Sector 43,2025-01-12,00:00:00,388,Low,25,Street,Rainy,No,Yellow
Sector 17,2025-01-12,01:00:00,586,High,62,Main Road,Cloudy,No,Red
Sector 17,2025-01-12,02:00:00,117,Low,49,Highway,Rainy,No,Green
Sector 22,2025-01-12,03:00:00,1646,Low,29,Street,Cloudy,No,Yellow
Industrial Area,2025-01-12,04:00:00,1614,Medium,78,Highway,Rainy,Yes,Green
Sector 22,2025-01-12,05:00:00,432,Low,54,Main Road,Rainy,No,Red
Sector 35,2025-01-12,06:00:00,68,Medium,15,Highway,Cloudy,No,Yellow
Sector 43,2025-01-12,07:00:00,732,High,78,Highway,Cloudy,No,Green
Sector 22,2025-01-12,08:00:00,1523,High,58,Highway,Sunny,No,Yellow
Sector 17,2025-01-12,09:00:00,123,Low,48,Highway,Foggy,No,Green
Sector 43,2025-01-12,10:00:00,622,Medium,11,Main Road,Cloudy,No,Green
Sector 43,2025-01-12,11:00:00,988,Low,48,Main Road,Sunny,No,Red
Sector 17,2025-01-12,12:00:00,1738,Medium,30,Highway,Rainy,No,Red
Sector 22,2025-01-12,13:00:00,1349,Medium,49,Main Road,Cloudy,No,Yellow
Sector 17,2025-01-12,14:00:00,1121,Medium,63,Main Road,Cloudy,No,Yellow
Industrial Area,2025-01-12,15:00:00,260,High,21,Street,Rainy,No,Green
Sector 43,2025-01-12,16:00:00,904,Medium,46,Main Road,Rainy,Yes,Red
IT Park,2025-01-12,17:00:00,1993,High,47,Highway,Rainy,No,Red
IT Park,2025-01-12,18:00:00,700,Medium,24,Main Road,Rainy,Yes,Green
Sector 35,2025-01-12,19:00:00,1695,High,16,Main Road,Foggy,No,Red
Sector 17,2025-01-12,20:00:00,1043,High,59,Main Road,Cloudy,No,Red
Sector 17,2025-01-12,21:00:00,744,High,74,Main Road,Rainy,No,Green
Sector 35,2025-01-12,22:00:00,589,Low,76,Street,Rainy,No,Yellow
Sector 35,2025-01-12,23:00:00,1782,Medium,53,Highway,Foggy,No,Yellow
Sector 35,2025-01-13,00:00:00,1264,Low,40,Highway,Cloudy,No,Yellow
Sector 43,2025-01-13,01:00:00,1388,Medium,52,Main Road,Sunny,No,Green
Industrial Area,2025-01-13,02:00:00,950,Medium,57,Main Road,Cloudy,No,Yellow
Sector 17,2025-01-13,03:00:00,1636,Low,70,Street,Sunny,No,Green
Sector 43,2025-01-13,04:00:00,1734,High,19,Main Road,Foggy,Yes,Green
Sector 35,2025-01-13,05:00:00,829,Medium,38,Street,Rainy,Yes,Red
Sector 17,2025-01-13,06:00:00,1635,High,57,Highway,Foggy,No,Red
Sector 43,2025-01-13,07:00:00,1973,Low,71,Highway,Cloudy,No,Yellow
Industrial Area,2025-01-13,08:00:00,1831,High,22,Street,Rainy,No,Green
Sector 43,2025-01-13,09:00:00,1186,Medium,53,Highway,Cloudy,No,Yellow
Industrial Area,2025-01-13,10:00:00,219,Medium,56,Main Road,Sunny,No,Yellow
Sector 35,2025-01-13,11:00:00,1541,Medium,73,Main Road,Cloudy,No,Red
Industrial Area,2025-01-13,12:00:00,1751,Low,62,Street,Foggy,No,Yellow
Sector 17,2025-01-13,13:00:00,1994,Medium,53,Highway,Foggy,No,Yellow
Sector 35,2025-01-13,14:00:00,1087,Low,37,Highway,Foggy,No,Red
Sector 17,2025-01-13,15:00:00,1788,High,11,Street,Rainy,Yes,Yellow
IT Park,2025-01-13,16:00:00,337,Medium,66,Street,Cloudy,No,Yellow
Sector 22,2025-01-13,17:00:00,1980,Medium,66,Highway,Rainy,No,Green
Industrial Area,2025-01-13,18:00:00,238,Medium,43,Street,Cloudy,No,Yellow
Sector 22,2025-01-13,19:00:00,963,High,67,Main Road,Sunny,No,Red
Sector 22,2025-01-13,20:00:00,1228,Medium,61,Highway,Cloudy,No,Red
Industrial Area,2025-01-13,21:00:00,1640,Low,38,Street,Cloudy,No,Green
Sector 35,2025-01-13,22:00:00,743,High,44,Street,Cloudy,No,Red
IT Park,2025-01-13,23:00:00,1795,High,57,Street,Cloudy,No,Red
Sector 17,2025-01-14,00:00:00,937,High,42,Highway,Sunny,No,Red
Sector 43,2025-01-14,01:00:00,520,High,18,Main Road,Rainy,Yes,Yellow
Sector 17,2025-01-14,02:00:00,1148,High,57,Main Road,Foggy,No,Green
Sector 43,2025-01-14,03:00:00,326,Low,76,Highway,Cloudy,No,Green
Sector 17,2025-01-14,04:00:00,989,High,45,Street,Foggy,No,Green
Industrial Area,2025-01-14,05:00:00,1718,Medium,53,Highway,Foggy,No,Green
IT Park,2025-01-14,06:00:00,1416,High,69,Highway,Foggy,No,Red
Sector 43,2025-01-14,07:00:00,1498,High,72,Street,Foggy,No,Yellow
Sector 35,2025-01-14,08:00:00,620,High,14,Highway,Cloudy,No,Red
Sector 17,2025-01-14,09:00:00,1584,High,49,Main Road,Foggy,No,Red
Sector 17,2025-01-14,10:00:00,906,High,28,Highway,Cloudy,No,Red
Sector 43,2025-01-14,11:00:00,1050,Low,56,Street,Sunny,No,Red
Sector 35,2025-01-14,12:00:00,1255,Low,74,Highway,Rainy,No,Green
Sector 35,2025-01-14,13:00:00,507,High,76,Main Road,Rainy,No,Green
Industrial Area,2025-01-14,14:00:00,967,Low,27,Highway,Cloudy,No,Yellow
Industrial Area,2025-01-14,15:00:00,1924,Medium,59,Highway,Cloudy,No,Red
Industrial Area,2025-01-14,16:00:00,882,High,39,Highway,Rainy,No,Green
Industrial Area,2025-01-14,17:00:00,1137,Medium,75,Highway,Foggy,Yes,Yellow
Industrial Area,2025-01-14,18:00:00,888,Medium,14,Street,Cloudy,No,Red
Industrial Area,2025-01-14,19:00:00,1333,High,51,Main Road,Foggy,No,Red
